Date,Close
1/2/2018,188.32
1/3/2018,190.58
1/4/2018,189.1
1/5/2018,187.75
1/8/2018,188.48
1/9/2018,186.29
1/10/2018,185.42
1/11/2018,189.38
1/12/2018,191.84
1/16/2018,191.53
1/17/2018,192.29
1/18/2018,191.51
1/19/2018,192.29
1/22/2018,194.38
1/23/2018,193.42
1/24/2018,194.24
1/25/2018,197.95
1/26/2018,198.91
1/29/2018,198.32
1/30/2018,197.91
1/31/2018,194.87
2/1/2018,193.47
2/2/2018,190.99
2/5/2018,182.77
2/6/2018,185.01
2/7/2018,183.19
2/8/2018,178.61
2/9/2018,180.72
2/12/2018,181.06
2/13/2018,184.15
2/14/2018,187.35
2/15/2018,191.48
2/16/2018,191.56
2/20/2018,188.12
2/21/2018,185.75
2/22/2018,186.59
2/23/2018,189.81
2/26/2018,192.81
2/27/2018,190.1
2/28/2018,190.9
3/1/2018,189.03
3/2/2018,189.33
3/5/2018,191.48
3/6/2018,191.46
3/7/2018,187.36
3/8/2018,185.69
3/9/2018,188.58
3/12/2018,189.37
3/13/2018,187.46
3/14/2018,184.63
3/15/2018,185.51
3/16/2018,185.87
3/19/2018,184.15
3/20/2018,187.35
3/21/2018,186.07
3/22/2018,182.64
3/23/2018,180.84
3/26/2018,187.22
3/27/2018,183.15
3/28/2018,183.61
3/29/2018,188.43
4/2/2018,182.75
4/3/2018,182.61
4/4/2018,185.52
4/5/2018,186.25
4/6/2018,183.96
4/9/2018,184.41
4/10/2018,183.55
4/11/2018,184.65
4/12/2018,188.82
4/13/2018,188.91
4/16/2018,194.58
4/17/2018,196
4/18/2018,196.51
4/19/2018,195.07
4/20/2018,193.56
4/23/2018,193.35
4/24/2018,192.51
4/25/2018,193.97
4/26/2018,195.26
4/27/2018,196.58
4/30/2018,197.16
5/1/2018,196.55
5/2/2018,194
5/3/2018,193.01
5/4/2018,195.19
5/7/2018,193.06
5/8/2018,194.48
5/9/2018,196.04
5/10/2018,195.45
5/11/2018,195.76
5/14/2018,195.88
5/15/2018,195.48
5/16/2018,198.71
5/17/2018,199.6
5/18/2018,199.6
5/21/2018,199.62
5/22/2018,198.97
5/23/2018,198.14
5/24/2018,198.89
5/25/2018,198.36
5/29/2018,196.74
5/30/2018,199.64
5/31/2018,198.24
6/1/2018,197.13
6/4/2018,198.62
6/5/2018,197.84
6/6/2018,197.66
6/7/2018,202.57
6/8/2018,203.76
6/11/2018,204.5
6/12/2018,204.88
6/13/2018,204.11
6/14/2018,205.12
6/15/2018,207.32
6/18/2018,206.21
6/19/2018,207.53
6/20/2018,207.98
6/21/2018,209.96
6/22/2018,211.1
6/25/2018,211.75
6/26/2018,210.09
6/27/2018,210.03
6/28/2018,208.71
6/29/2018,208.98
7/2/2018,207.99
7/3/2018,207.12
7/5/2018,209.14
7/6/2018,209.62
7/9/2018,210.94
7/10/2018,211.7
7/11/2018,210.95
7/12/2018,214.02
7/13/2018,216.54
7/16/2018,214.85
7/17/2018,215
7/18/2018,214.97
7/19/2018,217.54
7/20/2018,218.69
7/23/2018,218.84
7/24/2018,218.58
7/25/2018,220.7
7/26/2018,221.72
7/27/2018,219.65
7/30/2018,219.11
7/31/2018,218.71
8/1/2018,217.13
8/2/2018,221.12
8/3/2018,222.03
8/6/2018,222.72
8/7/2018,223.86
8/8/2018,224.58
8/9/2018,218.24
8/10/2018,220.31
8/13/2018,219.56
8/14/2018,222
8/15/2018,221.67
8/16/2018,223.19
8/17/2018,225.68
8/20/2018,227.35
8/21/2018,228.54
8/22/2018,229.21
8/23/2018,229.51
8/24/2018,231.28
8/27/2018,230.03
8/28/2018,230.26
8/29/2018,230.19
8/30/2018,230.83
8/31/2018,233.13
9/4/2018,234.68
9/5/2018,235.61
9/6/2018,236.68
9/7/2018,241.46
9/10/2018,243.18
9/11/2018,244.21
9/12/2018,242.44
9/13/2018,241.27
9/14/2018,235.38
9/17/2018,232
9/18/2018,234.35
9/19/2018,233.85
9/20/2018,233.92
9/21/2018,234.76
9/24/2018,233.34
9/25/2018,232.93
9/26/2018,233.81
9/27/2018,234
9/28/2018,234.88
10/1/2018,234.65
10/2/2018,236.35
10/3/2018,233.2
10/4/2018,231.68
10/5/2018,218.82
10/8/2018,223.93
10/9/2018,224.17
10/10/2018,221.05
10/11/2018,221.82
10/12/2018,226.95
10/15/2018,224.51
10/16/2018,227.68
10/17/2018,228.49
10/18/2018,228.58
10/19/2018,229.67
10/22/2018,229.06
10/23/2018,228.75
10/24/2018,223.76
10/25/2018,226.4
10/26/2018,218.19
10/29/2018,222.42
10/30/2018,227.92
10/31/2018,228.63
11/1/2018,229.6
11/2/2018,230.16
11/5/2018,234.45
11/6/2018,236.71
11/7/2018,240.37
11/8/2018,238.7
11/9/2018,237.74
11/12/2018,234.48
11/13/2018,234.14
11/14/2018,233.31
11/15/2018,229.94
11/16/2018,231.02
11/19/2018,228.74
11/20/2018,219.31
11/21/2018,218.57
11/23/2018,220.06
11/26/2018,219.45
11/27/2018,223.01
11/28/2018,230.34
11/29/2018,231
11/30/2018,231.28
12/3/2018,232.08
12/4/2018,226.35
12/6/2018,233.2
12/7/2018,224.86
12/10/2018,222.66
12/11/2018,226.5
12/12/2018,227.8
12/13/2018,226.51
12/14/2018,207.06
12/17/2018,202.23
12/18/2018,202.99
12/19/2018,201.41
12/20/2018,197.13
12/21/2018,194.52
12/24/2018,189.99
12/26/2018,198.63
12/27/2018,201.08
12/28/2018,202.04
12/31/2018,203.71
1/2/2019,204.76
1/3/2019,200.42
1/4/2019,206.24
1/7/2019,207
1/8/2019,208.55
1/9/2019,209.9
1/10/2019,210.64
1/11/2019,210.51
1/14/2019,209
1/15/2019,211.03
1/16/2019,210.18
1/17/2019,211.46
1/18/2019,213.59
1/22/2019,212.4
1/23/2019,212.09
1/24/2019,210.31
1/25/2019,209.07
1/28/2019,210.77
1/29/2019,210.31
1/30/2019,211.35
1/31/2019,214.63
2/1/2019,210.27
2/4/2019,211.18
2/5/2019,211.61
2/6/2019,211.6
2/7/2019,209.05
2/8/2019,207.75
2/11/2019,208.72
2/12/2019,211.9
2/13/2019,212.8
2/14/2019,213.84
2/15/2019,216.47
2/19/2019,218.12
2/20/2019,217.11
2/21/2019,215.23
2/22/2019,216.29
2/25/2019,217.05
2/26/2019,217.61
2/27/2019,218.05
2/28/2019,218.74
3/1/2019,219.44
3/4/2019,218.41
3/5/2019,219.82
3/6/2019,219.23
3/7/2019,216.79
3/8/2019,227.82
3/11/2019,229.69
3/12/2019,232.96
3/13/2019,236.38
3/14/2019,233.84
3/15/2019,233.6
3/18/2019,236.59
3/19/2019,237.05
3/20/2019,236.98
3/21/2019,239.54
3/22/2019,237.56
3/25/2019,236.97
3/26/2019,239.07
3/27/2019,239.41
3/28/2019,241.22
3/29/2019,242.14
4/1/2019,244.19
4/2/2019,240.5
4/3/2019,242.48
4/4/2019,244.4
4/5/2019,245.87
4/8/2019,246.52
4/9/2019,244.91
4/10/2019,245.61
4/11/2019,241.24
4/12/2019,241.95
4/15/2019,246.33
4/16/2019,245.34
4/17/2019,245.56
4/18/2019,245.81
4/22/2019,243.42
4/23/2019,245.58
4/24/2019,247.96
4/25/2019,245.6
4/26/2019,243.82
4/29/2019,244.28
4/30/2019,245.53
5/1/2019,241.59
5/2/2019,242.69
5/3/2019,244.62
5/6/2019,244.23
5/7/2019,240.18
5/8/2019,241.34
5/9/2019,243.47
5/10/2019,247.02
5/13/2019,241.92
5/14/2019,242.73
5/15/2019,244.67
5/16/2019,247.44
5/17/2019,248.35
5/20/2019,248.9
5/21/2019,249.93
5/22/2019,249.51
5/23/2019,248.53
5/24/2019,247.3
5/28/2019,246.31
5/29/2019,240.69
5/30/2019,241.54
5/31/2019,239.58
6/3/2019,241.07
6/4/2019,245.61
6/5/2019,247.96
6/6/2019,251.21
6/7/2019,256.01
6/10/2019,256.85
6/11/2019,257.11
6/12/2019,257.23
6/13/2019,259.71
6/14/2019,260.15
6/17/2019,261.43
6/18/2019,262.74
6/19/2019,263.66
6/20/2019,267.35
6/21/2019,266.13
6/24/2019,266.77
6/25/2019,266.36
6/26/2019,264.41
6/27/2019,265.58
6/28/2019,264.26
7/1/2019,263.55
7/2/2019,265.47
7/3/2019,269.14
7/5/2019,268.25
7/8/2019,269.4
7/9/2019,269.97
7/10/2019,271.42
7/11/2019,276.54
7/12/2019,279.44
7/15/2019,280.58
7/16/2019,280.65
7/17/2019,281.56
7/18/2019,282.91
7/19/2019,281.51
7/22/2019,280.17
7/23/2019,280.1
7/24/2019,280.83
7/25/2019,279.8
7/26/2019,281.37
7/29/2019,280.13
7/30/2019,279.5
7/31/2019,275.63
