Date,Close
1/2/2018,132.06
1/3/2018,135.15
1/4/2018,137.46
1/5/2018,137.26
1/8/2018,139.51
1/9/2018,137.94
1/10/2018,139.29
1/11/2018,139.14
1/12/2018,140.76
1/15/2018,142.8
1/16/2018,139.13
1/17/2018,142.72
1/18/2018,142.55
1/19/2018,144.47
1/22/2018,148.87
1/23/2018,147.31
1/24/2018,147.52
1/25/2018,154.3
1/26/2018,159.07
1/29/2018,156.87
1/30/2018,153.01
1/31/2018,157.04
2/1/2018,154.9
2/2/2018,155.45
2/5/2018,149.12
2/6/2018,152.66
2/7/2018,154.94
2/8/2018,149.5
2/9/2018,150.38
2/12/2018,161.05
2/13/2018,158.72
2/14/2018,171.49
2/15/2018,171.91
2/16/2018,172.6
2/20/2018,180.68
2/21/2018,168.64
2/22/2018,170.52
2/23/2018,173.28
2/26/2018,172.55
2/27/2018,176.11
2/28/2018,177.5
3/1/2018,175.62
3/2/2018,176.42
3/5/2018,180.8
3/6/2018,182.52
3/7/2018,185
3/8/2018,189.86
3/9/2018,191.43
3/12/2018,190.1
3/13/2018,188.6
3/14/2018,189.29
3/15/2018,192.86
3/16/2018,192.53
3/19/2018,190.36
3/20/2018,200.28
3/21/2018,193
3/22/2018,188
3/23/2018,182.65
3/26/2018,176.01
3/27/2018,165.65
3/28/2018,157
3/29/2018,160.32
4/2/2018,157.66
4/3/2018,152.72
4/4/2018,154.05
4/5/2018,153.46
4/6/2018,149.81
4/9/2018,151.18
4/10/2018,154.65
4/11/2018,150.05
4/12/2018,151.98
4/13/2018,148
4/16/2018,146.78
4/17/2018,158.04
4/18/2018,161.12
4/19/2018,160.27
4/20/2018,161.86
4/23/2018,157.95
4/24/2018,157.93
4/25/2018,154.04
4/26/2018,160.11
4/27/2018,160.83
4/30/2018,172.01
5/1/2018,163.5
5/2/2018,160.99
5/3/2018,173.49
5/4/2018,174.95
5/7/2018,178.55
5/8/2018,185.51
5/9/2018,187.6
5/10/2018,186.4
5/11/2018,184.53
5/14/2018,182.3
5/15/2018,183.5
5/16/2018,181.87
5/17/2018,186.82
5/18/2018,189.25
5/22/2018,177.66
5/23/2018,180.55
5/24/2018,184.19
5/25/2018,186
5/28/2018,187.9
5/29/2018,186.51
5/30/2018,188.01
5/31/2018,192.33
6/1/2018,195.41
6/4/2018,202.62
6/5/2018,209.06
6/6/2018,214.44
6/7/2018,209.2
6/8/2018,210.68
6/11/2018,208.15
6/12/2018,215.04
6/13/2018,214.58
6/14/2018,220.21
6/15/2018,221.99
6/18/2018,228.14
6/19/2018,226.42
6/20/2018,229.34
6/21/2018,218.6
6/22/2018,216.17
6/25/2018,203.6
6/26/2018,205.88
6/27/2018,193.61
6/28/2018,194.53
6/29/2018,191.71
7/3/2018,197.85
7/4/2018,202.32
7/5/2018,200.37
7/6/2018,205.61
7/9/2018,207.93
7/10/2018,208.75
7/11/2018,212.48
7/12/2018,220.46
7/13/2018,218.89
7/16/2018,217.43
7/17/2018,222.82
7/18/2018,224.14
7/19/2018,227.46
7/20/2018,225.03
7/23/2018,228.04
7/24/2018,221.14
7/25/2018,226.55
7/26/2018,222.85
7/27/2018,209.47
7/30/2018,191.86
7/31/2018,181.22
8/1/2018,177.02
8/2/2018,187.45
8/3/2018,184.1
8/7/2018,184.93
8/8/2018,185.75
8/9/2018,191
8/10/2018,195.81
8/13/2018,187.58
8/14/2018,188.64
8/15/2018,182.35
8/16/2018,183.27
8/17/2018,179.09
8/20/2018,177.19
8/21/2018,173.93
8/22/2018,178.57
8/23/2018,179.8
8/24/2018,182.98
8/27/2018,186.4
8/28/2018,187.43
8/29/2018,187.27
8/30/2018,188.02
8/31/2018,189.86
9/4/2018,192.57
9/5/2018,184.39
9/6/2018,176.08
9/7/2018,185.35
9/10/2018,187.09
9/11/2018,193.5
9/12/2018,198.83
9/13/2018,202.22
9/14/2018,201.75
9/17/2018,200.19
9/18/2018,210.33
9/19/2018,213.33
9/20/2018,215.68
9/21/2018,208.84
9/24/2018,209.64
9/25/2018,208.45
9/26/2018,210.7
9/27/2018,214.06
9/28/2018,212.3
10/1/2018,209.04
10/2/2018,200.29
10/3/2018,205.98
10/4/2018,192.35
10/5/2018,189.04
10/9/2018,181.58
10/10/2018,169.99
10/11/2018,166.72
10/12/2018,176.2
10/15/2018,176.16
10/16/2018,188.91
10/17/2018,178.89
10/18/2018,176.07
10/19/2018,166.07
10/22/2018,176.12
10/23/2018,173.01
10/24/2018,159.47
10/25/2018,178.82
10/26/2018,174.5
10/29/2018,168.62
10/30/2018,169.63
10/31/2018,181.87
11/1/2018,189.01
11/2/2018,190.95
11/5/2018,185.01
11/6/2018,185.15
11/7/2018,193.87
11/8/2018,197.02
11/9/2018,186.23
11/12/2018,179.57
11/13/2018,183.93
11/14/2018,189
11/15/2018,197.87
11/16/2018,198.8
11/19/2018,176.33
11/20/2018,179.34
11/21/2018,175.69
11/22/2018,176.38
11/23/2018,178.25
11/26/2018,191.45
11/27/2018,192.03
11/28/2018,199
11/29/2018,197.86
11/30/2018,202.24
12/3/2018,207.35
12/4/2018,199.12
12/5/2018,199.7
12/6/2018,209.65
12/7/2018,195.13
12/10/2018,203.23
12/11/2018,207.3
12/12/2018,213.78
12/13/2018,215.12
12/14/2018,187.66
12/17/2018,173.8
12/18/2018,181.01
12/19/2018,179.44
12/20/2018,172.09
12/21/2018,166.39
